path_id,isnad_id,t0,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10
isnad_021,jb_021,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. ʾAḥmad b. Wāṣil,Muḥammad b. ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_022,jb_022,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʿAlī b. Mustawir ʾAbū al-Ḥasan,Muḥammad b. ʾAḥmad b. Wāṣil,Muḥammad b. Saʿdān al-Kūfī al-Muqriʾ,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_023,jb_023,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. Yaḥyā al-Marwazī,Muḥammad b. Saʿdān al-Kūfī al-Muqriʾ,,,,,,
isnad_024,jb_024,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,ʾAḥmad b. Zuhayr b. Ḥarb ʾAbū Bakr,Ḫalaf b. Hišām al-Bazzār,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_025,jb_025,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,ʾIdrīs b. ʿAbd al-Karīm al-Ḥaddād,Ḫalaf b. Hišām al-Bazzār,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_026,jb_026,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,Muḥammad b. al-Ḥasan b. ʿAlī al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,Muḥammad b. Maḫlad al-ʾAnṣārī,Ḫalaf b. Hišām al-Bazzār,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_027,jb_027,al-Dānī,ʾAbū Bakr b. Ziyād al-Naqqāš,ʾAḥmad b. ʾAnas b. Mālik ʾAbū al-Ḥasan al-Dimašqī,ʿAbd Allāh b. ʾAḥmad b. Ḏakwān,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,,
isnad_028,jb_028,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. Yaḥyā al-Kisāʾī al-Ṣaġīr,ʾAbū al-Ḥāriṯ al-Layṯ b. Ḫālid,ʾAbū ʿUmārah Ḥamzah b. al-Qāsim al-ʾAḥwal,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_029,jb_029,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. Muḥammad al-Wazīr ʾAbū Bakr al-Baṣrī,ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ʾAḥmad b. Ǧubayr al-ʾAnṭākī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,,,,
isnad_030,jb_030,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾAbū Bakr ʾAḥmad b. Manṣūr,ʿAbd Allāh b. ʿAmr b. Bišr b. ʾAbī Saʿd ʾAbū Muḥammad al-Warrāq al-Baġdādī,ʾAbū Mūsā ʾIsḥāq b. Mūsā al-ʾAnṣārī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_031,jb_031,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,Muḥammad b. ʿAbd Allāh b. ʾUštah al-ʾIṣbahānī,ʾIbrāhīm b. Ǧaʿfar,ʾAbū Yaʿqūb Yūsuf b. Ǧaʿfar b. ʿAbd Allāh b. Maʿrūf,ʾAbū ʾIsḥāq ʾIbrāhīm b. al-Ḥasan al-Naqqāš,Muḥammad b. ʿAmr b. Al-ʿAbbās ʾAbū Bakr al-Bāhilī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_032,jb_032,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. Yaḥyā al-Kisāʾī al-Ṣaġīr,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Muḥammad b. ʿĪsā b. Rāzī al-Taymī al-ʾIṣbahānī,Ḥammād b. Baḥr al-Kūfī,ʾIsḥāq b. Muḥammad b. ʿAbd al-Raḥmān al-Musayyabī,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_033,jb_033,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,ʾIsmāʿīl al-Qāḍī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,,
isnad_034,jb_034,al-Dānī,ʾAbū al-Ḥasan Ṭāhir b. ʿAbd al-Munʿim b. ʿUbayd Allāh b. Ġalbūn,Muḥammad b. Ǧaʿfar al-Firyābī,ʾIsmāʿīl al-Qāḍī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,,
isnad_035,jb_035,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,ʾIsmāʿīl al-Qāḍī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_036,jb_036,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_037,jb_037,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū al-Ḥasan Muḥammad b. ʾAḥmad b. Šanabūḏ,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_038,jb_038,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,Muḥammad b. ʿAbd al-Raḥmān al-Ḫayyāṭ,ʾAḥmad b. Ḥammād,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_039,jb_039,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,Muḥammad b. Yūsuf b. Nahār al-Ḥirtakī,ʾAbū al-Ḥasan ʿAlī b. Muḥammad b. ʾIsmāʿīl al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ABU AL-ABBAS MUHAMMAD B. AHMAD AL-RAZI,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_040,jb_040,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Muḥammad al-Ḥasan b. Ṣāliḥ al-Wāsiṭī,Muḥammad b. ʿAmr b. ʿAwn al-Wāsiṭī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_041,jb_041,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,Muḥammad b. Ḥamdūn al-Ḥaḏḏāʾ,Muḥammad b. ʿAmr b. ʿAwn al-Wāsiṭī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_042,jb_042,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. Ḥamdūn al-Ḥaḏḏāʾ,Muḥammad b. ʿAmr b. ʿAwn al-Wāsiṭī,ʾAḥmad b. Yazīd al-Ḥulwānī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_043,jb_043,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,Zayd b. ʿAlī b. ʾAbī Bilāl al-Kūfī,Muḥammad b. al-Ḥasan b. Yūnus,al-Ḥasan b. ʿAlī al-Šaḥḥām,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_044,jb_044,al-Dānī,ʾAbū Muḥammad b. ʿAbd Allāh b. Muḥammad,ʿUbayd Allāh b. ʾAbī Muslim Muḥammad al-Faraḍī,ʾAbū al-Ḥusayn ʾAḥmad b. ʿUṯmān b. Būyān,ʾAbū al-Ḥassān ʾAḥmad b. Muḥammad b. ʾAbī al-ʾAšʿaṯ Yazīd al-ʿAnazī,ʾAbū Našīṭ Muḥammad b. Hārūn,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_045,jb_045,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾIbrāhīm b. ʿUmar al-Baġdādī,ʾAbū al-Ḥusayn ʾAḥmad b. ʿUṯmān b. Būyān,ʾAbū al-Ḥassān ʾAḥmad b. Muḥammad b. ʾAbī al-ʾAšʿaṯ Yazīd al-ʿAnazī,ʾAbū Našīṭ Muḥammad b. Hārūn,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_046,jb_046,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. ʿAlī b. Mālik al-ʾUšnānī,ʾAḥmad b. Ṣāliḥ al-Miṣrī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_047,jb_047,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Ṣāliḥ al-Miṣrī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_048,jb_048,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. ʿAlī b. Mālik al-ʾUšnānī,ʾAḥmad b. Ṣāliḥ al-Miṣrī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_049,jb_049,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAbū Bakr Muḥammad b. ʿAlī b. al-Ḥasan al-Ǧulandā,ʾAbū ʿAbd Allāh ʾAḥmad b. ʿAbd Rabbih b. ʿAbbās,al-Ḥasan b. al-Qāsim,ʾAḥmad b. Ṣāliḥ al-Miṣrī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_050,jb_050,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,AL-HASAN B. ABD AL-RAHMAN AL-KARKHI AL-KHAYYAT,IBRAHIM B. AL-HUSAYN AL-KISA'I,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_051,jb_051,al-Dānī,ABU ABD ALLAH  AHMAD B. UMAR B. MUHAMMAD AL- JIZI,Muḥammad b. ʾAḥmad al-Ḥarrānī,ʿAbd Allāh b. ʿĪsā al-Madanī,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,,
isnad_052,jb_052,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ABU AL-QASIM ABD ALLAH B. MUHAMMAD B. IBRAHIM B. IDRIS AL-RAZI,ABU ABD ALLAH MUHAMMAD B. YUSUF AL-HARAWI,ABD AL-HUKM AL-QITRI,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_053,jb_053,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Qālūn ʾAbū Mūsā,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_054,jb_054,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAbū Bakr Muḥammad b. ʿAlī b. al-Ḥasan al-Ǧulandā,ABU AL-ABBAS AL-FADL B. DAWUD AL-MADANI,ABU ABD ALLAH MUS3AB B. IBRAHIM B. HAMZAH AL-DINAWARI,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
